"","year","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HEP","AEP","HIP","AIP","HomeSecured","AwaySecured","League"
"41",2015,"SP2","14/09/14","Betis","Albacete",0,1,"A",2.09371246546886,0.665432380113097,0,3,0,0,"Segunda Division"
"42",2015,"SP2","14/09/14","Lugo","Leganes",0,0,"D",1.45443814221821,1.24033795512233,1,1,0,0,"Segunda Division"
"43",2015,"SP2","14/09/14","Sp Gijon","Girona",1,1,"D",1.64565087237739,1.0647191805247,1,1,0,0,"Segunda Division"
"44",2015,"SP2","14/09/14","Tenerife","Mirandes",1,0,"H",1.76235213502597,0.954089728793999,3,0,0,0,"Segunda Division"
"45",2015,"SP2","14/09/14","Zaragoza","Sabadell",1,1,"D",1.71677309752664,1.00075370462411,1,1,0,0,"Segunda Division"
"46",2015,"SP2","20/09/14","Barcelona B","Llagostera",0,1,"A",1.9289281598156,0.819054936611602,0,3,0,0,"Segunda Division"
"47",2015,"SP2","20/09/14","Las Palmas","Alcorcon",4,1,"H",1.6556222509054,1.0616674394416,3,0,0,0,"Segunda Division"
"48",2015,"SP2","20/09/14","Mirandes","Sp Gijon",0,2,"A",1.19077268415216,1.50603262830191,0,3,0,0,"Segunda Division"
"49",2015,"SP2","20/09/14","Recreativo","Lugo",0,0,"D",1.62412207891712,1.08300344783553,1,1,0,0,"Segunda Division"
"50",2015,"SP2","20/09/14","Sabadell","Ponferradina",1,0,"H",1.40776084522129,1.29821315546034,3,0,0,0,"Segunda Division"
"51",2015,"SP2","20/09/14","Zaragoza","Alaves",1,0,"H",1.55921827172121,1.14716270308453,3,0,0,0,"Segunda Division"
"52",2015,"SP2","21/09/14","Albacete","Numancia",0,1,"A",1.48977564145598,1.20966983982062,0,3,0,0,"Segunda Division"
"53",2015,"SP2","21/09/14","Girona","Betis",1,3,"A",1.3233899102348,1.38218807573204,0,3,0,0,"Segunda Division"
"54",2015,"SP2","21/09/14","Leganes","Santander",2,2,"D",1.61387176798547,1.0974399631723,1,1,0,0,"Segunda Division"
"55",2015,"SP2","21/09/14","Osasuna","Mallorca",6,4,"H",1.68863517658916,1.02720377822079,3,0,0,0,"Segunda Division"
"56",2015,"SP2","21/09/14","Valladolid","Tenerife",2,1,"H",1.81671216270623,0.898981095178895,3,0,0,0,"Segunda Division"
"57",2015,"SP2","27/09/14","Alaves","Sabadell",3,1,"H",1.64963163528745,1.06447956677791,3,0,0,0,"Segunda Division"
"58",2015,"SP2","27/09/14","Llagostera","Zaragoza",0,1,"A",1.32418155421202,1.36816598619054,0,3,0,0,"Segunda Division"
"59",2015,"SP2","27/09/14","Lugo","Osasuna",4,3,"H",1.42620375886909,1.27257217136977,3,0,0,0,"Segunda Division"
"60",2015,"SP2","27/09/14","Santander","Recreativo",3,0,"H",1.45288218384594,1.24621760650139,3,0,0,0,"Segunda Division"
"61",2015,"SP2","28/09/14","Alcorcon","Leganes",1,0,"H",1.66019877542368,1.05448242321458,3,0,0,0,"Segunda Division"
"62",2015,"SP2","28/09/14","Betis","Mirandes",2,0,"H",2.21926140684625,0.564610060907129,3,0,0,0,"Segunda Division"
"63",2015,"SP2","28/09/14","Mallorca","Barcelona B",3,3,"D",1.5231919016173,1.19684447783621,1,1,0,0,"Segunda Division"
"64",2015,"SP2","28/09/14","Numancia","Girona",2,2,"D",1.55168787464507,1.14754443159112,1,1,0,0,"Segunda Division"
