YEAR,REGION,ROUND,SEED,TEAM,SCORE,O_SEED,O_NAME,O_SCORE
2011,Southeast Regional,1,7,UCLA,78,10,Michigan State,76
2011,Southeast Regional,1,2,Florida,79,15,UCSB,51
2011,Southeast Regional,2,1,Pitt,70,8,Butler,71
2011,Southeast Regional,2,5,Kansas State,65,4,Wisconsin,70
2011,Southeast Regional,2,11,Gonzaga,67,3,BYU,89
2011,Southeast Regional,2,7,UCLA,65,2,Florida,73
2011,Southeast Regional,3,8,Butler,61,4,Wisconsin,54
2011,Southeast Regional,3,3,BYU,74,2,Florida,83
2011,Southeast Regional,4,8,Butler,74,2,Florida,71
2011,Southwest Regional,1,1,Kansas,72,16,Boston University,53
2011,Southwest Regional,1,8,UNLV,62,9,Illinois,73
2011,Southwest Regional,1,5,Vanderbilt,66,12,Richmond,69
2011,Southwest Regional,1,4,Louisville,61,13,Morehead State,62
2011,Southwest Regional,1,6,Georgetown,56,11,VCU,74
2011,Southwest Regional,1,3,Purdue,65,14,St. Peter's,43
2011,Southwest Regional,1,7,Texas A&M,50,10,Florida State,57
2011,Southwest Regional,1,2,Notre Dame,69,15,Akron,56
2011,Southwest Regional,2,1,Kansas,73,9,Illinois,59
2011,Southwest Regional,2,12,Richmond,65,13,Morehead State,48
2011,Southwest Regional,2,11,VCU,94,3,Purdue,76
2011,Southwest Regional,2,10,Florida State,71,2,Notre Dame,57
2011,Southwest Regional,3,1,Kansas,77,12,Richmond,57
2011,Southwest Regional,3,11,VCU,72,10,Florida State,71
2011,Southwest Regional,4,1,Kansas,61,11,VCU,71
2011,West Regional,1,1,Duke,87,16,Hampton,45
2011,West Regional,1,8,Michigan,75,9,Tennessee,45
2011,West Regional,1,5,Arizona,77,12,Memphis,75
2011,West Regional,1,4,Texas,85,13,Oakland,81
2011,West Regional,1,6,Cincinnati,78,11,Missouri,63
2011,West Regional,1,3,UConn,81,14,Bucknell,52
2011,West Regional,1,7,Temple,66,10,Penn State,64
2011,West Regional,1,2,San Diego State,68,15,Northern Colorado,50
2011,West Regional,2,1,Duke,73,8,Michigan,71
2011,West Regional,2,5,Arizona,70,4,Texas,69
2011,West Regional,2,6,Cincinnati,58,3,UConn,69
2011,West Regional,2,7,Temple,64,2,San Diego State,71
2011,West Regional,3,1,Duke,77,5,Arizona,93
2011,West Regional,3,3,UConn,74,2,San Diego State,67
2011,West Regional,4,5,Arizona,63,3,UConn,65
2011,Final_Four,Final_Four,3,UConn,56,4,Kentucky,55
2011,Final_Four,Final_Four,11,VCU,62,8,Butler,70
2011,Final_Four,Championship,3,UConn,53,8,Butler,41
2012,East Regional,1,1,Syracuse,72,16,North Carolina-Asheville,65
2012,East Regional,1,8,Kansas State,70,9,Southern Miss,64
2012,East Regional,1,5,Vanderbilt,79,12,Harvard,70
2012,East Regional,1,4,Wisconsin,73,13,Montana,49
2012,East Regional,1,6,Cincinnati,65,11,Texas,59
2012,East Regional,1,3,Florida State,66,14,St. Bonaventure,63
2012,East Regional,1,7,Gonzaga,77,10,West Virginia,54
2012,East Regional,1,2,Ohio State,78,15,Loyola (MD),59
2012,East Regional,2,1,Syracuse,75,8,Kansas State,59
2012,East Regional,2,5,Vanderbilt,57,4,Wisconsin,60
2012,East Regional,2,6,Cincinnati,62,3,Florida State,56
2012,East Regional,2,7,Gonzaga,66,2,Ohio State,73
2012,East Regional,3,1,Syracuse,64,4,Wisconsin,63
2012,East Regional,3,6,Cincinnati,66,2,Ohio State,81
2012,East Regional,4,1,Syracuse,70,2,Ohio State,77
2012,Midwest Regional,1,1,UNC,77,16,Vermont,58
2012,Midwest Regional,1,8,Creighton,58,9,Alabama,57
2012,Midwest Regional,1,5,Temple,44,12,South Florida,58
2012,Midwest Regional,1,4,Michigan,60,13,Ohio,65
2012,Midwest Regional,1,6,San Diego State,65,11,North Carolina State,79
2012,Midwest Regional,1,3,Georgetown,74,14,Belmont,59
2012,Midwest Regional,1,7,Saint Mary's (CA),69,10,Purdue,72
2012,Midwest Regional,1,2,Kansas,65,15,Detroit,50
2012,Midwest Regional,2,1,UNC,87,8,Creighton,73
2012,Midwest Regional,2,12,South Florida,56,13,Ohio,62
2012,Midwest Regional,2,11,North Carolina State,66,3,Georgetown,63
2012,Midwest Regional,2,10,Purdue,60,2,Kansas,63
2012,Midwest Regional,3,1,UNC,73,13,Ohio,65
2012,Midwest Regional,3,11,North Carolina State,57,2,Kansas,60
2012,Midwest Regional,4,1,UNC,67,2,Kansas,80
2012,South Regional,1,1,Kentucky,81,16,Western Kentucky,66
2012,South Regional,1,8,Iowa State,77,9,UConn,64
2012,South Regional,1,5,Wichita State,59,12,VCU,62
2012,South Regional,1,4,Indiana,79,13,New Mexico State,66
2012,South Regional,1,6,UNLV,64,11,Colorado,68
2012,South Regional,1,3,Baylor,68,14,South Dakota State,60
2012,South Regional,1,7,Notre Dame,63,10,Xavier,67
2012,South Regional,1,2,Duke,70,15,Lehigh,75
2012,South Regional,2,1,Kentucky,87,8,Iowa State,71
2012,South Regional,2,12,VCU,61,4,Indiana,63
2012,South Regional,2,11,Colorado,63,3,Baylor,80
2012,South Regional,2,10,Xavier,70,15,Lehigh,58
2012,South Regional,3,1,Kentucky,102,4,Indiana,90
2012,South Regional,3,3,Baylor,75,10,Xavier,70
2012,South Regional,4,1,Kentucky,82,3,Baylor,70
2012,West Regional,1,1,Michigan State,89,16,LIU-Brooklyn,67
2012,West Regional,1,8,Memphis,54,9,Saint Louis,61
2012,West Regional,1,5,New Mexico,75,12,Long Beach State,68
2012,West Regional,1,4,Louisville,69,13,Davidson,62
2012,West Regional,1,6,Murray State,58,11,Colorado State,41
2012,West Regional,1,3,Marquette,88,14,BYU,68
2012,West Regional,1,7,Florida,71,10,Virginia,45
2012,West Regional,1,2,Missouri,84,15,Norfolk State,86
2012,West Regional,2,1,Michigan State,65,9,Saint Louis,61
2012,West Regional,2,5,New Mexico,56,4,Louisville,59
