YEAR,WEEK,RK,TEAM,RECORD,PTS,PREV,TRENDING,GAMES
2016,1,1,North Carolina (35),0-0,"1,566",15,14,"  vs Temple W 91-67,  vs Fairfield W 92-65"
2016,1,2,Kentucky (10),0-0,"1,520",1,1,"  vs Albany W 78-65,  vs NJIT W 87-57"
2016,1,3,Maryland (14),0-0,"1,487",12,9,  vs Mt St Mary's W 80-56
2016,1,4,Kansas (5),0-0,"1,410",10,6,  vs N Colorado W 109-72
2016,1,5,Duke,0-0,"1,350",4,1,"  vs Siena W 92-74,  vs Bryant W 113-75"
2016,1,6,Virginia (1),0-0,"1,347",6,--,  vs Morgan State W 86-48
2016,1,7,Iowa State,0-0,"1,185",9,2,  vs Colorado W 68-62
2016,1,8,Oklahoma,0-0,"1,088",13,5, No games scheduled.
2016,1,9,Gonzaga,0-0,"1,047",7,2, No games scheduled.
2016,1,10,Wichita St,0-0,"1,032",14,4,  vs Charleston So W 88-63
2016,1,11,Villanova,0-0,"1,013",2,9,  vs Fair Dickinson W 91-54
2016,1,12,Arizona,0-0,917,5,7,  vs Pacific W 79-61
2016,1,13,Michigan State,0-0,838,23,10,  vs FAU W 82-55
2016,1,14,California,0-0,757,NR,12,  vs Rice W 97-65
2016,1,15,Indiana,0-0,755,NR,11,  vs E Illinois W 88-49
2016,1,16,Utah,0-0,499,19,3,  vs Southern Utah W 82-71
2016,1,17,Wisconsin,0-0,433,3,14,"  vs W Illinois L 69-67,  vs Siena W 92-65"
2016,1,18,Vanderbilt,0-0,393,NR,8,  vs Austin Peay W 80-41
2016,1,19,Notre Dame,0-0,360,8,11,  vs St Francis (PA) W 87-56
2016,1,20,Connecticut,0-0,307,NR,6,  vs Maine W 100-56
2016,1,21,LSU,0-0,268,NR,5,  vs McNeese State W 81-70
2016,1,22,Baylor,0-0,265,16,6,  vs SF Austin W 97-55
2016,1,23,Purdue,0-0,236,NR,3,"  vs NC A&T; W 81-40,  vs Vermont W 107-79"
2016,1,24,Butler,0-0,223,24,--,  vs The Citadel W 144-71
2016,1,25,Michigan,0-0,126,NR,1,  vs N Michigan W 70-44
2016,2,1,North Carolina (37),2-0,"1,571",1,--,"  vs Wofford W 78-58,  @ Northern Iowa L 71-67"
2016,2,2,Kentucky (8),2-0,"1,520",2,--,"  @ Duke W 74-63,  vs Wright State W 78-63"
2016,2,3,Maryland (14),1-0,"1,496",3,--,"  vs Georgetown W 75-71,  vs Rider W 65-58"
2016,2,4,Kansas (5),1-0,"1,415",4,--,  @ Michigan State L 79-73
2016,2,5,Duke,2-0,"1,348",5,--,"  vs Kentucky L 74-63,  @ VCU W 79-71,  @ Georgetown W 86-84"
2016,2,6,Virginia (1),1-0,"1,341",6,--,"  @ G Washington L 73-68,  @ Bradley W 82-57,  vs LBSU W 87-52,  vs George Mason W 83-66"
2016,2,7,Iowa State,1-0,"1,189",7,--,  vs Chicago State W 106-64
2016,2,8,Oklahoma,0-0,"1,095",8,--,"  @ Memphis W 84-78,  vs McNeese State W 85-56"
2016,2,9,Wichita St,1-0,"1,043",10,1,"  @ Tulsa L 77-67,  vs Emporia St W 76-54"
2016,2,10,Gonzaga,0-0,"1,040",9,1,"  vs N Arizona W 91-52,  vs Mt St Mary's W 101-56"
2016,2,11,Villanova,1-0,"1,013",11,--,"  vs Nebraska W 87-63,  vs ETSU W 86-51,  vs Akron W 75-56"
2016,2,12,Arizona,1-0,973,12,--,"  vs Bradley W 90-60,  vs Boise State W 88-76,  vs Northwestern St W 61-42"
2016,2,13,Michigan State,1-0,837,13,--,"  vs Kansas W 79-73,  vs AR-Pine Bluff W 92-46"
2016,2,14,Indiana,1-0,763,15,1,"  vs Austin Peay W 102-76,  vs Creighton W 86-65"
2016,2,15,California,1-0,761,14,1,"  vs UCSB W 85-67,  vs ECU W 70-62"
2016,2,16,Utah,1-0,514,16,--,"  vs San Diego State W 81-76,  @ Texas Tech W 73-63,  vs Miami L 90-66,  vs Temple W 74-68"
2016,2,17,Vanderbilt,1-0,462,18,1,"  vs Gardner-Webb W 98-62,  vs Stony Brook W 79-72"
2016,2,18,Notre Dame,1-0,414,19,1,"  vs Milwaukee W 86-78,  vs UMass Lowell W 83-57"
2016,2,19,Connecticut,1-0,373,20,1,"  vs UNH W 85-66,  vs Furman W 83-58"
2016,2,20,Baylor,1-0,368,22,2,"  @ Oregon L 74-67,  vs Jackson State W 77-60"
2016,2,21,Purdue,2-0,291,23,2,"  vs Incarnate Word W 96-61,  @ Old Dominion W 61-39,  vs Florida W 85-70"
2016,2,22,Butler,1-0,284,24,2,"  @ Missouri State W 93-59,  vs Temple W 74-69,  @ Miami L 85-75"
2016,2,23,LSU,1-0,283,21,2,"  vs Kennesaw St W 91-69,  vs South Alabama W 78-66"
2016,2,24,Michigan,1-0,141,25,1,"  vs Elon W 88-68,  vs Xavier L 86-70"
2016,2,25,Oregon,1-0,121,NR,1,"  vs Baylor W 74-67,  vs Savannah State W 77-59,  vs Valparaiso W 73-67"
2016,3,1,Kentucky (59),4-0,"1,619",2,1,"  vs Boston U W 82-62,  @ USF W 84-63"
2016,3,2,Maryland (6),3-0,"1,518",3,1,"  @ Illinois State W 77-66,  @ URI W 86-63,  vs Cleveland State W 80-63"
2016,3,3,Michigan State,3-0,"1,448",13,10,"  vs E Michigan W 89-65,  vs Boston College W 99-68,  vs Boise State W 77-67,  @ Providence W 77-64"
2016,3,4,Iowa State,2-0,"1,297",7,3,"  vs Chattanooga W 83-63,  vs Virginia Tech W 99-77,  @ Illinois W 84-73"
2016,3,5,Kansas,1-1,"1,243",4,1,"  @ Chaminade W 123-72,  @ UCLA W 92-73,  vs Vanderbilt W 70-63"
2016,3,6,Duke,4-1,"1,238",5,1,"  vs Yale W 80-61,  vs Utah State W 85-52"
2016,3,7,Oklahoma,2-0,"1,210",8,1,"  vs Incarnate Word W 96-63,  vs Wisconsin W 65-48"
2016,3,8,Villanova,4-0,"1,153",11,3,"  vs Stanford W 59-45,  vs Georgia Tech W 69-52"
2016,3,9,North Carolina,3-1,"1,141",1,8,"  vs Northwestern W 80-69,  @ Kansas State W 80-70"
2016,3,10,Gonzaga,2-0,"1,138",10,--,"  vs Washington W 80-64,  vs Texas A&M; L 62-61,  vs UConn W 73-70"
2016,3,11,Arizona,4-0,970,12,1,"  vs Santa Clara W 75-73,  vs Providence L 69-65,  vs Boise State W 68-59"
2016,3,12,Virginia,4-1,872,6,6,  vs Lehigh W 80-54
2016,3,13,Indiana,3-0,846,14,1,"  vs Wake Forest L 82-78,  vs St John's W 83-73,  @ UNLV L 72-69"
2016,3,14,California,3-0,746,15,1,"  vs Sam Houston W 89-63,  vs San Diego State L 72-58,  @ Richmond L 94-90"
2016,3,15,Miami (FL),5-0,724,NR,11,  vs Northeastern L 78-77
2016,3,16,Purdue,5-0,550,21,5,  vs Lehigh W 77-55
2016,3,17,Notre Dame,3-0,480,18,1,"  @ Monmouth L 70-68,  @ Iowa W 68-62,  vs Alabama L 74-73"
2016,3,18,Connecticut,3-0,432,19,1,"  @ Michigan W 74-60,  vs Syracuse L 79-76,  @ Gonzaga L 73-70"
2016,3,19,Vanderbilt,3-0,431,17,2,"  vs St John's W 92-55,  @ Wake Forest W 86-64,  @ Kansas L 70-63"
2016,3,20,Wichita St,2-1,423,9,11,"  @ USC L 72-69,  vs Alabama L 64-60,  @ Iowa L 84-61"
2016,3,21,Oregon,4-0,369,25,4,  vs Arkansas State W 91-68
2016,3,22,LSU,3-0,285,23,1,"  @ Marquette L 81-80,  @ NC State L 83-72"
2016,3,23,Xavier,3-0,143,NR,3,"  vs N Kentucky W 78-66,  vs Alabama W 64-45,  @ USC W 87-77,  @ Dayton W 90-61"
2016,3,24,Cincinnati,4-0,110,NR,2,"  vs SE Louisiana W 64-49,  vs Nebraska W 65-61,  vs G Washington W 61-56"
2016,3,25,SMU,3-0,100,NR,1,  vs Brown W 77-69
2016,3,26,Texas A&M;,4-0,100,NR,1,"  vs Texas W 84-73,  @ Gonzaga W 62-61,  vs Syracuse L 74-67"
2016,4,1,Kentucky (59),6-0,"1,619",1,--,"  vs Illinois State W 75-63,  @ UCLA L 87-77"
2016,4,2,Maryland (4),6-0,"1,512",2,--,"  @ UNC L 89-81,  vs St Francis (PA) W 96-55"
2016,4,3,Michigan State (2),7-0,"1,510",3,--,"  vs Louisville W 71-67,  vs Binghamton W 76-33"
2016,4,4,Kansas,4-1,"1,342",5,1,"  vs Loyola (MD) W 94-61,  vs Harvard W 75-69"
2016,4,5,Iowa State,5-0,"1,338",4,1,  vs North Dakota St W 84-64
2016,4,6,Oklahoma,4-0,"1,269",7,1,  vs Cent Arkansas W 111-68
2016,4,7,Duke,6-1,"1,253",6,1,"  vs Indiana W 94-74,  vs Buffalo W 82-59"
2016,4,8,Villanova,6-0,"1,218",8,--,  @ Saint Joe's W 86-72
2016,4,9,North Carolina,5-1,"1,155",9,--,"  vs Maryland W 89-81,  vs Davidson W 98-65"
2016,4,10,Virginia,5-1,965,12,2,"  @ OSU W 64-58,  vs William & Mary W 67-52"
2016,4,11,Purdue,6-0,904,16,5,"  @ Pitt W 72-59,  vs New Mexico W 70-58"
2016,4,12,Xavier,7-0,801,23,11,  vs W Kentucky W 95-64
2016,4,13,Gonzaga,4-1,788,10,3,"  @ Washington St W 69-60,  vs Arizona L 68-63"
2016,4,14,Syracuse,6-0,696,NR,12,"  vs Wisconsin L 66-58,  @ Georgetown L 79-72"
2016,4,15,Oregon,5-0,628,21,6,"  vs Fresno State W 78-73,  @ UNLV L 80-69"
2016,4,16,Vanderbilt,5-1,587,19,3,"  vs Detroit W 102-52,  @ Baylor L 69-67"
2016,4,17,Cincinnati,7-0,551,24,7,"  vs Butler L 78-76,  vs Morgan State W 87-66"
2016,4,18,Texas A&M;,6-1,522,25,7,"  vs FGCU W 75-65,  @ Arizona State L 67-54"
2016,4,19,Arizona,6-1,504,11,8,  @ Gonzaga W 68-63
2016,4,20,West Virginia,6-0,363,NR,6,  vs Kennesaw St W 87-54
2016,4,21,Miami (FL),5-1,289,15,6,"  @ Nebraska W 77-72,  vs Charlotte W 88-60"
2016,4,22,SMU,4-0,256,25,3,"  @ TCU W 75-70,  vs UNH W 98-44"
2016,4,23,Providence,6-1,247,NR,3,"  vs Hartford W 89-66,  @ URI W 74-72"
2016,4,24,Louisville,5-0,173,NR,2,"  @ Michigan State L 71-67,  vs Grand Canyon W 111-63"
2016,4,25,Baylor,4-1,162,NR,1,"  vs PV A&M; W 80-41,  vs Vanderbilt W 69-67"
2016,5,1,Michigan State (62),9-0,"1,617",3,2,"  vs MD-E Shore W 78-35,  vs Florida W 58-52"
2016,5,2,Kansas (1),6-1,"1,442",4,2,"  vs Holy Cross W 92-59,  vs Oregon State W 82-67"
2016,5,3,North Carolina (2),7-1,"1,425",9,6,  @ Texas L 84-82
2016,5,4,Iowa State,6-0,"1,347",5,1,"  vs Buffalo W 84-63,  vs Iowa W 83-82,  vs AR-Pine Bluff W 78-64"
2016,5,5,Kentucky,7-1,"1,325",1,4,"  vs E Kentucky W 88-67,  vs Arizona State W 72-58"
2016,5,6,Maryland,7-1,"1,299",2,4,"  @ UConn W 76-66,  vs MD-E Shore W 77-56"
2016,5,7,Oklahoma,5-0,"1,283",6,1,"  @ Villanova W 78-55,  vs Oral Roberts W 96-73"
2016,5,8,Duke,8-1,"1,243",7,1, No games scheduled.
2016,5,9,Villanova,7-0,"1,230",8,1,"  vs Oklahoma L 78-55,  vs La Salle W 76-47"
2016,5,10,Virginia,7-1,"1,003",10,--,  vs West Virginia W 70-54
2016,5,11,Purdue,8-0,997,11,--,"  vs IUPUI W 80-53,  vs Howard W 93-55,  vs Youngstown St W 95-64"
2016,5,12,Xavier,8-0,930,12,--,"  vs Wright State W 90-55,  vs Cincinnati W 65-55"
2016,5,13,Arizona,7-1,811,19,6,"  vs Fresno State W 85-72,  vs Missouri W 88-52"
2016,5,14,West Virginia,7-0,615,20,6,"  @ UVA L 70-54,  vs UL Monroe W 100-58"
2016,5,15,Providence,8-1,548,23,8,"  vs Boston College W 66-51,  vs Bryant W 74-67"
2016,5,16,Baylor,6-1,488,25,9,  vs Northwestern St W 75-62
2016,5,17,Miami (FL),7-1,469,21,4,  vs Florida W 66-55
2016,5,18,Butler,6-1,416,NR,8,"  vs VMI W 93-66,  vs Tennessee W 94-86"
2016,5,19,SMU,6-0,413,22,3,  vs Michigan W 82-58
2016,5,20,Gonzaga,5-2,399,13,7,"  vs Montana W 61-58,  vs UCLA L 71-66"
2016,5,21,Vanderbilt,6-2,377,16,5,  vs Dayton L 72-67
2016,5,22,Louisville,6-1,373,24,2,  vs E Michigan W 86-53
2016,5,23,Cincinnati,8-1,331,17,6,  @ Xavier L 65-55
2016,5,24,Oregon,6-1,241,15,9,"  @ Navy W 67-47,  @ Boise State L 74-72"
2016,5,25,Utah,7-1,108,NR,1,  @ Wichita State L 67-50
2016,6,1,Michigan State (64),11-0,"1,621",1,--,  @ Northeastern W 78-58
2016,6,2,Kansas (1),8-1,"1,499",2,--,  vs Montana W 88-46
2016,6,3,Oklahoma,7-0,"1,409",7,4,  vs Creighton W 87-74
2016,6,4,Kentucky,9-1,"1,385",5,1,  vs OSU L 74-67
2016,6,5,Iowa State,9-0,"1,370",4,1,  vs Northern Iowa L 81-79
2016,6,6,Maryland,9-1,"1,353",6,--,  vs Princeton W 82-61
2016,6,7,Duke,8-1,"1,271",8,1,"  vs Ga Southern W 99-65,  vs Utah L 77-75"
2016,6,8,Virginia,8-1,"1,132",10,2,  vs Villanova W 86-75
2016,6,9,Purdue,11-0,"1,082",11,2,  vs Butler L 74-68
2016,6,10,Xavier,10-0,"1,062",12,2,  vs Auburn W 85-61
2016,6,11,North Carolina,7-2,"1,023",3,8,"  vs Tulane W 96-72,  vs UCLA W 89-76"
2016,6,12,Villanova,8-1,865,9,3,  @ UVA L 86-75
2016,6,13,Arizona,9-1,860,13,--,"  vs N Arizona W 92-37,  vs UNLV W 82-70"
2016,6,14,Providence,10-1,724,15,1,  vs Rider W 73-65
2016,6,15,Miami (FL),8-1,622,17,2,  vs Charleston W 85-63
2016,6,16,Baylor,7-1,605,16,--,"  vs Hardin-Simmons W 104-59,  @ Texas A&M; L 80-61"
2016,6,17,Butler,8-1,562,18,1,  @ Purdue W 74-68
2016,6,18,SMU,7-0,560,19,1,"  vs Nicholls State W 86-42,  vs Hampton W 105-72"
2016,6,19,Louisville,7-1,534,22,3,"  vs Kennesaw St W 94-57,  vs W Kentucky W 78-56"
2016,6,20,West Virginia,8-1,466,14,6,  @ Marshall W 86-68
2016,6,21,George Washington,9-1,256,NR,5,  vs St Peter's W 87-74
2016,6,22,UCLA,7-3,213,NR,4,"  vs LA-Lafayette W 89-80,  @ UNC L 89-76"
2016,6,23,Cincinnati,8-2,197,23,--,"  vs Norfolk State W 75-59,  @ VCU W 69-63"
2016,6,24,Texas A&M;,8-2,152,NR,2,  vs Baylor W 80-61
2016,6,25,Connecticut,6-3,47,NR,1,  vs UMass Lowell W 88-79
2016,7,1,Michigan State (64),12-0,"1,623",1,--,  @ Oakland W 99-93
2016,7,2,Kansas (1),9-1,"1,537",2,--,  @ San Diego State W 70-57
2016,7,3,Oklahoma,8-0,"1,495",3,--,"  @ Washington St W 88-60,  @ Hawaii W 84-81,  vs Harvard W 83-71"
2016,7,4,Maryland,10-1,"1,428",6,2,  vs Marshall W 87-67
2016,7,5,Virginia,9-1,"1,350",8,3,  vs Cal W 63-62
2016,7,6,Xavier,11-0,"1,287",10,4,  @ Wake Forest W 78-70
2016,7,7,North Carolina,9-2,"1,215",11,4,  vs Appalachian St W 94-70
2016,7,8,Arizona,11-1,"1,056",13,5,  vs LBSU W 85-70
2016,7,9,Butler,9-1,947,17,8,  vs Southern Utah W 88-52
2016,7,10,Providence,11-1,911,14,4,  @ UMass W 90-66
2016,7,11,Iowa State,9-1,907,5,6,  @ Cincinnati W 81-79
2016,7,12,Kentucky,9-2,856,4,8,  vs Louisville W 75-73
2016,7,13,Miami,9-1,851,15,2,  @ La Salle W 95-49
2016,7,14,Purdue,11-1,833,9,5,  vs Vanderbilt W 68-55
2016,7,15,Duke,9-2,809,7,8, No games scheduled.
2016,7,16,Louisville,9-1,652,19,3,"  vs UMKC W 75-47,  vs Utah Valley W 98-68,  @ Kentucky L 75-73"
2016,7,17,Villanova,8-2,649,12,5,  vs Delaware W 78-48
2016,7,18,SMU,9-0,628,18,--,"  vs Kent State W 90-74,  vs Colorado W 70-66"
2016,7,19,West Virginia,9-1,470,20,1,  vs E Kentucky W 84-59
2016,7,20,George Washington,10-1,366,21,1,  @ DePaul L 82-61
2016,7,21,Texas A&M;,9-2,327,24,3, No games scheduled.
2016,7,22,Cincinnati,10-2,315,23,1,  vs Iowa State L 81-79
2016,7,23,Baylor,8-2,141,16,7,  vs New Mexico St W 85-70
2016,7,24,Utah,9-2,107,NR,2,  vs Delaware State W 105-58
2016,7,25,South Carolina,10-0,87,NR,1,  @ St John's W 75-61
2016,8,1,Michigan State (64),13-0,"1,623",1,--,"  @ Iowa L 83-70,  @ Minnesota W 69-61"
2016,8,2,Kansas (1),10-1,"1,534",2,--,"  vs UC Irvine W 78-53,  vs Baylor W 102-74"
2016,8,3,Oklahoma,11-0,"1,498",3,--,  vs Iowa State W 87-83
2016,8,4,Maryland,11-1,"1,428",4,--,"  vs Penn State W 70-64,  @ Northwestern W 72-59"
2016,8,5,Virginia,10-1,"1,351",5,--,"  vs Oakland W 71-58,  vs Notre Dame W 77-66"
2016,8,6,Xavier,12-0,"1,296",6,--,"  @ Villanova L 95-64,  vs Butler W 88-69"
2016,8,7,North Carolina,10-2,"1,219",7,--,"  vs UNCG W 96-63,  vs Clemson W 80-69,  vs Georgia Tech W 86-78"
2016,8,8,Arizona,12-1,"1,081",8,--,  @ Arizona State W 94-82
2016,8,9,Butler,10-1,984,9,--,"  vs IUPUI W 92-54,  vs Providence L 81-73,  @ Xavier L 88-69"
2016,8,10,Kentucky,10-2,963,12,2,  vs Ole Miss W 83-61
2016,8,11,Iowa State,10-1,938,11,--,"  vs Coppin State W 104-84,  @ Oklahoma L 87-83"
2016,8,12,Providence,12-1,923,10,2,"  @ Butler W 81-73,  vs St John's W 83-65"
2016,8,13,Miami (FL),10-1,867,13,--,"  vs Princeton W 76-64,  vs Syracuse W 64-51"
2016,8,14,Purdue,12-1,818,14,--,"  @ Wisconsin W 61-55,  vs Iowa L 70-63"
2016,8,15,Duke,9-2,781,15,--,"  vs Elon W 105-66,  vs LBSU W 103-81,  @ Boston College W 81-64"
2016,8,16,Villanova,9-2,643,17,1,"  vs Penn W 77-57,  vs Xavier W 95-64,  @ Creighton W 85-71"
2016,8,17,SMU,11-0,636,18,1,"  @ Tulsa W 81-69,  vs USF W 72-58"
2016,8,18,Louisville,11-2,516,16,2,  vs Wake Forest W 65-57
2016,8,19,West Virginia,10-1,500,19,--,"  @ Virginia Tech W 88-63,  @ Kansas State W 87-83"
2016,8,20,Texas A&M;,9-2,371,21,1,"  vs Cal Poly W 82-63,  vs Arkansas W 92-69"
2016,8,21,Utah,10-2,224,24,3,"  vs College of Idaho W 115-74,  @ Stanford L 70-68,  @ Cal L 71-58"
2016,8,22,Cincinnati,10-3,199,22,--,"  vs Temple L 77-70,  vs Tulsa W 76-57"
2016,8,23,Baylor,9-2,195,23,--,"  vs Texas Southern W 72-59,  @ Kansas L 102-74"
2016,8,24,South Carolina,11-0,175,25,1,"  vs Francis W 78-56,  vs Memphis W 86-76"
2016,8,25,UCLA,9-4,51,NR,1,"  @ Washington L 96-93,  @ Washington St L 85-78"
2016,9,1,Kansas (44),12-1,"1,598",2,1,"  vs Oklahoma W 109-106,  @ Texas Tech W 69-59"
2016,9,2,Oklahoma (21),12-0,"1,574",3,1,"  @ Kansas L 109-106,  vs Kansas State W 86-76"
2016,9,3,Maryland,13-1,"1,459",4,1,"  vs Rutgers W 88-63,  @ Wisconsin W 63-60"
2016,9,4,Virginia,12-1,"1,409",5,1,"  @ Virginia Tech L 70-68,  @ Georgia Tech L 68-64"
2016,9,5,Michigan State,14-1,"1,400",1,4,"  vs Illinois W 79-54,  @ Penn State W 92-65"
2016,9,6,North Carolina,13-2,"1,275",7,1,"  @ FSU W 106-90,  @ Syracuse W 84-73"
2016,9,7,Arizona,13-1,"1,126",8,1,"  @ UCLA L 87-84,  @ USC L 103-101"
2016,9,8,Providence,14-1,"1,108",12,4,  vs Marquette L 65-64
2016,9,9,Kentucky,11-2,"1,039",10,1,"  @ LSU L 85-67,  @ Alabama W 77-61"
2016,9,10,Xavier,13-1,"1,001",6,4,  @ St John's W 74-66
2016,9,11,Villanova,12-2,979,16,5,"  vs Seton Hall W 72-63,  @ Butler W 60-55"
2016,9,12,Miami (FL),12-1,921,13,1,  vs FSU W 72-59
2016,9,13,Iowa State,11-2,844,11,2,"  vs Texas Tech W 76-69,  vs Baylor L 94-89"
2016,9,14,Duke,12-2,830,15,1,"  @ Wake Forest W 91-75,  vs Virginia Tech W 82-58"
2016,9,15,SMU,13-0,731,17,2,"  vs Cincinnati W 59-57,  vs UCF W 88-73"
2016,9,16,Louisville,12-2,568,18,2,"  @ NC State W 77-72,  @ Clemson L 66-62"
2016,9,17,West Virginia,12-1,558,19,2,"  @ TCU W 95-87,  vs Oklahoma State W 77-60"
2016,9,18,Butler,11-3,516,9,9,"  @ DePaul W 77-72,  vs Villanova L 60-55"
2016,9,19,Iowa,11-3,456,NR,7,  vs Nebraska W 77-66
2016,9,20,Purdue,13-2,450,14,6,"  vs Michigan W 87-70,  @ Illinois L 84-70"
2016,9,21,Texas A&M;,11-2,420,20,1,"  @ Miss St W 61-60,  @ Tennessee W 92-88"
2016,9,22,South Carolina,13-0,286,24,2,"  @ Auburn W 81-69,  vs Vanderbilt W 69-65"
2016,9,23,Connecticut,10-3,107,NR,3,"  vs Temple L 55-53,  vs Memphis W 81-78"
2016,9,24,Pittsburgh,12-1,103,NR,2,"  vs Georgia Tech W 89-84,  @ Notre Dame W 86-82"
2016,9,25,Dayton,11-2,100,NR,1,"  vs UMass W 93-63,  @ La Salle L 61-57"
2016,10,1,Kansas (63),14-1,"1,621",1,--,"  @ West Virginia L 74-63,  vs TCU W 70-63"
2016,10,2,Oklahoma (1),13-1,"1,551",2,--,"  @ Oklahoma State W 74-72,  vs West Virginia W 70-68"
2016,10,3,Maryland,15-1,"1,472",3,--,"  @ Michigan L 70-67,  vs OSU W 100-65"
2016,10,4,Michigan State (1),16-1,"1,446",5,1,"  vs Iowa L 76-59,  @ Wisconsin L 77-76"
2016,10,5,North Carolina,15-2,"1,371",6,1,  vs NC State W 67-55
2016,10,6,Villanova,14-2,"1,246",11,5,"  vs Marquette W 83-68,  @ Georgetown W 55-50"
2016,10,7,Xavier,14-1,"1,200",10,3,"  vs DePaul W 84-64,  @ Marquette W 74-66"
2016,10,8,Miami (FL),13-1,"1,139",12,4,"  @ UVA L 66-58,  @ Clemson L 76-65"
2016,10,9,Duke,14-2,"1,100",14,5,"  @ Clemson L 68-63,  vs Notre Dame L 95-91"
2016,10,10,SMU,15-0,"1,040",15,5,"  @ ECU W 79-55,  @ Tulane W 60-45"
2016,10,11,West Virginia,14-1,867,17,6,"  vs Kansas W 74-63,  @ Oklahoma L 70-68"
2016,10,12,Providence,14-2,862,8,4,"  @ Creighton W 50-48,  vs Seton Hall L 81-72"
2016,10,13,Virginia,12-3,818,4,9,"  vs Miami W 66-58,  @ FSU L 69-62"
2016,10,14,Kentucky,12-3,698,9,5,"  vs Miss St W 80-74,  @ Auburn L 75-70"
2016,10,15,Texas A&M;,13-2,668,21,6,"  vs Florida W 71-68,  @ Georgia W 79-45"
2016,10,16,Iowa,12-3,656,19,3,"  @ Michigan State W 76-59,  vs Michigan W 82-71"
2016,10,17,Iowa State,12-3,555,13,4,"  @ Texas L 94-91,  @ Kansas State W 76-63"
2016,10,18,Arizona,13-3,537,7,11,"  vs Washington W 99-67,  vs Washington St W 90-66"
2016,10,19,South Carolina,15-0,527,22,3,"  @ Alabama L 73-50,  vs Missouri W 81-72"
2016,10,20,Pittsburgh,14-1,334,24,4,"  @ Louisville L 59-41,  vs Boston College W 84-61"
2016,10,21,Louisville,13-3,330,16,5,  vs Pitt W 59-41
2016,10,22,Baylor,12-3,325,NR,4,"  vs TCU W 82-54,  @ Texas Tech W 63-60"
2016,10,23,Butler,12-4,302,18,5,  vs St John's W 78-58
2016,10,24,Purdue,14-3,145,20,4,  vs Penn State W 74-57
2016,10,25,Gonzaga,13-3,101,NR,1,"  vs BYU L 69-68,  vs San Diego W 88-52"
2016,11,1,Oklahoma (65),15-1,"1,625",2,1,"  @ Iowa State L 82-77,  @ Baylor W 82-72"
2016,11,2,North Carolina,16-2,"1,515",5,3,"  vs Wake Forest W 83-68,  @ Virginia Tech W 75-70"
2016,11,3,Kansas,15-2,"1,499",1,2,"  @ Oklahoma State L 86-67,  vs Texas W 76-67"
2016,11,4,Villanova,16-2,"1,403",6,2,"  @ Seton Hall W 72-71,  vs Providence L 82-76"
2016,11,5,Xavier,16-1,"1,321",7,2,"  vs Georgetown L 81-72,  vs Seton Hall W 84-76"
2016,11,6,West Virginia,15-2,"1,278",11,5,"  vs Texas L 56-49,  @ Texas Tech W 80-76"
2016,11,7,Maryland,16-2,"1,259",3,4,"  vs Northwestern W 62-56,  @ Michigan State L 74-65"
2016,11,8,SMU,17-0,"1,179",10,2,"  vs Houston W 77-73,  @ Temple L 89-80"
2016,11,9,Iowa,14-3,"1,167",16,7,"  @ Rutgers W 90-76,  vs Purdue W 83-71"
2016,11,10,Texas A&M;,15-2,994,15,5,"  vs LSU W 71-57,  vs Missouri W 66-53"
2016,11,11,Michigan State,16-3,950,4,7,"  vs Nebraska L 72-71,  vs Maryland W 74-65"
2016,11,12,Arizona,15-3,801,18,6,"  @ Stanford W 71-57,  @ Cal L 74-73"
2016,11,13,Baylor,14-3,649,22,9,"  vs Kansas State W 79-72,  vs Oklahoma L 82-72"
2016,11,14,Virginia,13-4,649,13,--,"  vs Clemson W 69-62,  vs Syracuse W 73-65"
2016,11,15,Miami (FL),13-3,645,8,7,"  @ Boston College W 67-53,  vs Wake Forest W 77-63"
2016,11,16,Providence,15-3,609,12,4,"  vs Butler W 71-68,  @ Villanova W 82-76"
2016,11,17,Louisville,14-3,608,21,4,"  vs FSU W 84-65,  @ Georgia Tech W 75-71"
2016,11,18,Butler,13-4,439,23,5,"  @ Providence L 71-68,  @ Creighton L 72-64"
2016,11,19,Iowa State,13-4,411,17,2,"  vs Oklahoma W 82-77,  @ TCU W 73-60"
2016,11,20,Duke,14-4,375,9,11,"  vs Syracuse L 64-62,  @ NC State W 88-78"
2016,11,21,USC,15-3,338,NR,5,"  @ Oregon L 89-81,  @ Oregon State L 85-70"
2016,11,22,Purdue,15-3,322,24,2,"  @ Rutgers W 107-57,  vs OSU W 75-64,  @ Iowa L 83-71"
2016,11,23,Kentucky,13-4,276,14,9,"  @ Arkansas W 80-66,  vs Vanderbilt W 76-57"
2016,11,24,South Carolina,16-1,252,19,5,"  @ Ole Miss W 77-74,  @ Tennessee L 78-69"
2016,11,25,Indiana,15-3,210,NR,1,"  vs Illinois W 103-69,  vs Northwestern W 89-57"
2016,12,1,Oklahoma (36),16-2,"1,592",1,--,"  vs Texas Tech W 91-67,  @ LSU W 77-75"
2016,12,2,North Carolina (29),18-2,"1,586",2,--,  vs Boston College W 89-62
2016,12,3,Iowa,16-3,"1,473",9,6,"  @ Maryland L 74-68,  vs Northwestern W 85-71"
2016,12,4,Kansas,16-3,"1,369",3,1,"  @ Iowa State L 85-72,  vs Kentucky W 90-84"
2016,12,5,Texas A&M;,17-2,"1,332",10,5,"  @ Arkansas L 74-71,  vs Iowa State W 72-62"
