YEAR,WEEK,RK,TEAM,RECORD,PTS,PREV,TRENDING,GAMES
2008,19,19,Vanderbilt,25-6,493,18,1,"  vs Auburn W 93-82,  @ Arkansas L 81-75"
2008,19,20,Purdue,24-7,418,17,3,  vs Illinois L 74-67
2008,19,21,Washington State,23-7,377,21,--,"  vs Oregon W 75-70,  @ Stanford L 75-68"
2008,19,22,Clemson,22-8,364,NR,4,"  vs Boston College W 82-48,  @ Duke W 78-74,  @ UNC L 86-81"
2008,19,23,Davidson,25-6,253,23,--,  vs Elon W 65-49
2008,19,24,Gonzaga,25-6,232,20,4,  vs San Diego L 69-62
2008,19,25,Marquette,22-8,174,25,--,"  vs Seton Hall W 67-54,  @ Notre Dame W 89-79,  vs Pitt L 68-61"
2007,1,1,Florida (63),0-0,"1,788",11,10,  vs Samford W 79-54
2007,1,2,North Carolina (9),0-0,"1,704",10,8, No games scheduled.
2007,1,3,Kansas,0-0,"1,636",12,9,  vs N Arizona W 91-57
2007,1,4,Pittsburgh,0-0,"1,407",16,12,  vs W Michigan W 86-67
2007,1,5,LSU,0-0,"1,399",19,14, No games scheduled.
2007,1,6,UCLA,0-0,"1,394",7,1, No games scheduled.
2007,1,7,Ohio State,0-0,"1,391",6,1,"  vs VMI W 107-69,  vs Loyola (CHI) W 87-75,  vs Kent State W 81-59"
2007,1,8,Georgetown,0-0,"1,271",23,15,  vs Hartford W 69-59
2007,1,9,Wisconsin,0-0,"1,197",NR,17,  vs Mercer W 72-48
2007,1,10,Arizona,0-0,"1,157",NR,16,  @ UVA L 93-90
2007,1,11,Alabama,0-0,"1,106",NR,15,  vs Jackson State W 96-65
2007,1,12,Duke,0-0,"1,051",1,11,  vs Columbia W 86-43
2007,1,13,Texas A&M;,0-0,868,NR,13,  vs PV A&M; W 81-49
2007,1,14,Memphis,0-0,811,4,10, No games scheduled.
2007,1,15,Boston College,0-0,772,7,8,  vs UNH W 86-47
2007,1,16,Marquette,0-0,554,NR,10,  vs Hillsdale W 76-66
2007,1,17,Washington,0-0,487,17,--,  vs Pepperdine W 99-91
2007,1,18,Connecticut,0-0,399,2,16,  vs Quinnipiac W 53-46
2007,1,19,Creighton,0-0,384,NR,7, No games scheduled.
2007,1,20,Syracuse,0-0,367,21,1,"  vs St Francis (BKN) W 83-51,  vs Penn W 78-60,  vs UTEP W 83-69"
2007,1,21,Texas,0-0,366,9,12,"  vs Alcorn State W 103-44,  vs Chicago State W 92-66"
2007,1,22,Kentucky,0-0,332,NR,4, No games scheduled.
2007,1,23,Georgia Tech,0-0,262,NR,3,  vs Elon W 83-49
2007,1,24,Nevada,0-0,212,20,4,  vs Alaska Anchorage W 85-62
2007,1,25,Tennessee,0-0,203,18,7,  vs Mid Tennessee W 83-52
2007,2,1,Florida (65),1-0,"1,790",1,--,"  vs North Florida W 86-40,  vs Jacksonville W 90-61,  vs Chattanooga W 93-44"
2007,2,2,North Carolina (7),0-0,"1,704",2,--,"  vs Sacred Heart W 103-81,  vs Winthrop W 73-66,  vs Gardner-Webb W 103-50"
2007,2,3,Kansas,1-0,"1,638",3,--,"  vs Oral Roberts L 78-71,  vs Towson W 87-61"
2007,2,4,Pittsburgh,1-0,"1,421",4,--,"  vs Delaware State W 67-50,  vs Northeastern W 78-52,  vs UMass W 85-68,  vs Oakland W 66-55"
2007,2,5,Ohio State,3-0,"1,418",7,2,  vs E Kentucky W 74-45
2007,2,6,UCLA,0-0,"1,403",6,--,  vs BYU W 82-69
2007,2,7,LSU,0-0,"1,387",5,2,"  vs Nicholls State W 96-42,  vs UL Monroe W 88-57"
2007,2,8,Georgetown,1-0,"1,265",8,--,"  @ Vanderbilt W 86-70,  vs Old Dominion L 75-62"
2007,2,9,Wisconsin,1-0,"1,236",9,--,"  vs Green Bay W 79-62,  vs Southern W 92-39"
2007,2,10,Alabama,1-0,"1,131",11,1,"  vs Mid Tennessee W 71-62,  vs Iowa W 72-60"
2007,2,11,Duke,1-0,"1,078",12,1,"  vs Ga Southern W 72-48,  vs UNCG W 75-48"
2007,2,12,Texas A&M;,1-0,923,13,1,"  vs Lamar W 94-60,  vs LA Tech W 75-59,  vs Saint Louis W 69-33"
2007,2,13,Memphis,0-0,832,14,1,  vs Jackson State W 111-69
2007,2,14,Boston College,1-0,812,15,1,  vs Vermont L 77-63
2007,2,15,Arizona,0-1,713,10,5,"  vs N Arizona W 101-79,  vs New Mexico St W 102-87"
2007,2,16,Marquette,1-0,589,16,--,"  vs Idaho State W 59-56,  vs Detroit W 87-45,  vs E Michigan W 95-62"
2007,2,17,Washington,1-0,554,17,--,"  vs Nicholls State W 102-74,  vs Northern Iowa W 70-61,  vs Sacramento St W 83-74"
2007,2,18,Syracuse,3-0,443,20,2,  vs Northeastern W 81-58
2007,2,19,Texas,2-0,398,21,2,"  @ Michigan State L 63-61,  @ St John's W 77-76"
2007,2,20,Creighton,0-0,395,19,1,"  vs Miss Valley St W 78-42,  @ Nebraska L 73-61"
2007,2,21,Connecticut,1-0,369,18,3,"  vs Cent Arkansas W 88-59,  vs Fairfield W 74-49,  vs Ole Miss W 77-59"
2007,2,22,Kentucky,0-0,344,22,--,"  vs Miami (OH) W 57-46,  vs Miss Valley St W 79-56"
2007,2,23,Georgia Tech,1-0,283,23,--,"  vs Jackson State W 100-70,  vs Georgia State W 103-74"
2007,2,24,Nevada,1-0,216,24,--,"  @ Oregon State W 75-47,  vs AR-Pine Bluff W 82-63"
2007,2,25,Tennessee,1-0,199,25,--,"  vs Fordham W 78-71,  vs UNC Wilmington W 87-75,  vs Coppin State W 99-65"
2007,3,1,Florida (66),4-0,"1,794",1,--,"  vs PV A&M; W 94-33,  vs W Kentucky W 101-68,  vs Kansas L 82-80"
2007,3,2,North Carolina (6),3-0,"1,720",2,--,"  vs Gonzaga L 82-74,  @ Tennessee W 101-87"
2007,3,3,Pittsburgh,5-0,"1,519",4,1,  vs FSU W 88-66
2007,3,4,Ohio State,4-0,"1,518",5,1,"  vs San Francisco W 82-60,  vs Youngstown St W 91-57"
2007,3,5,UCLA,1-0,"1,488",6,1,"  @ Chaminade W 88-63,  @ Kentucky W 73-68,  @ Georgia Tech W 88-73"
2007,3,6,LSU,2-0,"1,484",7,1,  vs Wichita State L 57-53
2007,3,7,Wisconsin,3-0,"1,335",9,2,"  vs Delaware State W 64-52,  @ Missouri State L 66-64,  vs Auburn W 77-63"
2007,3,8,Alabama,3-0,"1,241",10,2,"  vs Xavier W 63-56,  vs Texas Southern W 74-44"
2007,3,9,Duke,3-0,"1,197",11,2,"  vs Air Force W 71-56,  vs Marquette L 73-62,  vs Davidson W 75-47"
2007,3,10,Kansas,2-1,"1,114",3,7,"  vs Tennessee St W 89-54,  vs Ball State W 64-46,  @ Florida W 82-80"
2007,3,11,Texas A&M;,4-0,"1,065",12,1,  vs Idaho State W 74-44
2007,3,12,Memphis,1-0,919,13,1,"  vs Oklahoma W 77-65,  vs Georgia Tech L 92-85,  vs Kentucky W 80-63"
2007,3,13,Marquette,4-0,716,16,3,"  vs Texas Tech W 87-72,  @ Duke W 73-62"
2007,3,14,Georgetown,2-1,713,8,6,  @ Fairfield W 73-60
2007,3,15,Arizona,2-1,706,15,--,  vs Samford W 86-57
2007,3,16,Washington,4-0,640,17,1,  vs E Washington W 90-83
2007,3,17,Syracuse,4-0,571,18,1,"  vs Charlotte W 79-67,  @ Canisius W 81-71"
2007,3,18,Connecticut,4-0,476,21,3,  vs Albany W 86-55
2007,3,19,Georgia Tech,3-0,414,23,4,"  vs Purdue W 79-61,  @ Memphis W 92-85,  vs UCLA L 88-73"
2007,3,20,Kentucky,2-0,400,22,2,"  vs DePaul W 87-81,  vs UCLA L 73-68,  @ Memphis L 80-63"
2007,3,21,Nevada,3-0,306,24,3,"  vs UC Irvine W 83-64,  @ Santa Clara W 78-70"
2007,3,22,Tennessee,4-0,300,25,3,"  vs Butler L 56-44,  vs UNC L 101-87"
2007,3,23,Boston College,1-1,266,14,9,"  @ Providence L 73-64,  vs URI W 86-68"
2007,3,24,Wichita St,3-0,223,NR,2,  @ LSU W 57-53
2007,3,25,Maryland,5-0,199,NR,1,"  vs Winthrop W 71-60,  vs High Point W 81-63"
2007,4,1,UCLA (36),4-0,"1,727",5,4,"  vs LBSU W 88-58,  vs UC Riverside W 61-38"
2007,4,2,Pittsburgh (18),6-0,"1,666",3,1,"  vs Robert Morris W 67-53,  @ Auburn W 74-66"
2007,4,3,Ohio State (15),6-0,"1,649",4,1,"  @ UNC L 98-89,  vs Valparaiso W 78-58"
2007,4,4,Florida (3),6-1,"1,576",1,3,"  vs Southern W 83-27,  @ FSU L 70-66"
