,Date,Number,Winner,Type,Loser
78,Aug 2nd 2015,3,Rusev,def. (pin),R-Truth
79,Aug 2nd 2015,4,Darren Young (c) & Titus O'Neil (c),def. (pin),Big E & Xavier Woods
80,Aug 2nd 2015,5,Neville,def. (pin),Bo Dallas
81,Aug 2nd 2015,6,Chris Jericho,def. (pin),Kevin Owens
82,Aug 1st 2015,1,Kalisto & Sin Cara,def. (pin),"Diego & Fernando, Konnor & Viktor"
83,Aug 1st 2015,2,Luke Harper,def. (pin),Jack Swagger
84,Aug 1st 2015,3,Curtis Axel & Damien Sandow,def. (pin),Adam Rose & Brad Maddox
85,Aug 1st 2015,4,Emma & Natalya,def. (sub),Cameron & Dana Brooke
86,Aug 1st 2015,5,Fandango,def. (pin),Heath Slater
87,Aug 1st 2015,6,Randy Orton,def. (pin),Sheamus
88,Aug 1st 2015,7,Roman Reigns,def. (pin),Bray Wyatt
89,Aug 1st 2015,8,Seth Rollins (c),def. (pin),Dean Ambrose
90,Aug 1st 2015,1,Brie Bella & Nikki Bella,def. (pin),Naomi & Sasha Banks
91,Aug 1st 2015,2,Neville,def. (pin),Bo Dallas
92,Aug 1st 2015,3,Cesaro,def. (sub),King Barrett
93,Aug 1st 2015,4,Darren Young (c) & Titus O'Neil (c),def. (pin),Big E & Xavier Woods
94,Aug 1st 2015,5,Rusev,def. (sub),R-Truth
95,Aug 1st 2015,6,Chris Jericho,def. (pin),Kevin Owens
96,Jul 31st 2015,1,Chris Jericho,def. (pin),Kevin Owens
97,Jul 31st 2015,2,Neville,def. (pin),Bo Dallas
98,Jul 31st 2015,3,Rusev,def. (sub),R-Truth
99,Jul 31st 2015,4,Darren Young (c) & Titus O'Neil (c),def. (pin),Big E & Xavier Woods
100,Jul 31st 2015,5,Brie Bella & Nikki Bella,def. (pin),Naomi & Sasha Banks
101,Jul 31st 2015,6,Cesaro,def. (sub),King Barrett
102,Jul 31st 2015,7,Seth Rollins (c),def.,Dean Ambrose
103,Jul 28th 2015,1,Big Cass & Enzo Amore,def. (pin),Brad Maddox & Heath Slater
104,Jul 28th 2015,2,Cesaro,def. (DQ),Seth Rollins
105,Jul 28th 2015,3,Diego & Fernando & Kalisto & Sin Cara,def. (pin),Big E & Kofi Kingston & Konnor & Viktor
106,Jul 28th 2015,4,Rusev,def. (sub),Jack Swagger
107,Jul 28th 2015,5,Stardust,def. (pin),R-Truth
108,Jul 28th 2015,6,Cesaro & Dean Ambrose,def. (pin),Kevin Owens & Seth Rollins
109,Jul 28th 2015,1,Fandango,def. (pin),Adam Rose
110,Jul 28th 2015,2,Neville,def. (pin),King Barrett
111,Jul 28th 2015,3,Becky Lynch,def. (sub),Brie Bella
112,Jul 28th 2015,4,Bo Dallas,def. (pin),Zack Ryder
113,Jul 27th 2015,1,The Big Show,def. (CO),Dean Ambrose
114,Jul 27th 2015,2,Neville,def. (pin),Fandango
115,Jul 27th 2015,3,Sasha Banks,def. (sub),Paige
116,Jul 27th 2015,4,Kalisto & Sin Cara,def. (pin),Diego & Fernando
117,Jul 27th 2015,5,Becky Lynch & Charlotte,def. (sub),Alicia Fox & Nikki Bella
118,Jul 27th 2015,6,Randy Orton,def. (DQ),Kevin Owens
119,Jul 27th 2015,7,John Cena (c),def. (sub),Seth Rollins
120,Jul 27th 2015,1,Bo Dallas,def. (pin),R-Truth
121,Jul 27th 2015,2,King Barrett,def. (pin),Jack Swagger
122,Jul 26th 2015,1,Neville,def. (pin),Stardust
123,Jul 26th 2015,2,Big Cass & Enzo Amore,def. (pin),Konnor & Viktor
124,Jul 26th 2015,3,Paige,def. (sub),Layla
125,Jul 26th 2015,4,R-Truth,def. (pin),King Barrett
126,Jul 26th 2015,5,Kalisto & Sin Cara & Zack Ryder,def. (pin),Bo Dallas & Diego & Fernando
127,Jul 26th 2015,6,Rusev,def. (sub),Jack Swagger
128,Jul 26th 2015,7,Bray Wyatt,def. (pin),Mark Henry
129,Jul 26th 2015,8,Seth Rollins (c),def. (pin),Dean Ambrose
130,Jul 26th 2015,1,Darren Young (c) & Titus O'Neil (c),def. (pin),Big E & Xavier Woods
131,Jul 26th 2015,2,The Miz,def. (pin),Fandango
132,Jul 26th 2015,3,Alicia Fox & Nikki Bella,def. (pin),Naomi & Sasha Banks
133,Jul 26th 2015,4,Cesaro,def. (CO),Kevin Owens
134,Jul 26th 2015,5,Curtis Axel & Damien Sandow,def. (pin),Adam Rose & Brad Maddox
135,Jul 26th 2015,6,Luke Harper,def. (pin),Jimmy Uso
136,Jul 26th 2015,7,Randy Orton,def. (pin),Sheamus
137,Jul 25th 2015,1,Darren Young (c) & Titus O'Neil (c),def. (pin),Big E & Xavier Woods
138,Jul 25th 2015,2,The Miz,def. (pin),Fandango
139,Jul 25th 2015,3,Curtis Axel & Damien Sandow,def. (pin),Adam Rose & Brad Maddox
140,Jul 25th 2015,4,Luke Harper,def. (pin),Jimmy Uso
141,Jul 25th 2015,5,Randy Orton,def. (pin),Sheamus
142,Jul 25th 2015,6,Alicia Fox & Nikki Bella,def. (pin),Naomi & Sasha Banks
143,Jul 25th 2015,7,Cesaro,def. (sub),Kofi Kingston
144,Jul 25th 2015,8,John Cena (c),def. (pin),Kevin Owens
145,Jul 25th 2015,1,Neville,def. (pin),Stardust
146,Jul 25th 2015,2,Big Cass & Enzo Amore,def. (pin),Konnor & Viktor
147,Jul 25th 2015,3,Paige,def. (sub),Layla
148,Jul 25th 2015,4,R-Truth,def. (pin),King Barrett
149,Jul 25th 2015,5,Bray Wyatt,def. (pin),Mark Henry
150,Jul 25th 2015,6,Kalisto & Sin Cara & Zack Ryder,def. (pin),Bo Dallas & Diego & Fernando
151,Jul 25th 2015,7,Rusev,def. (sub),Jack Swagger
