,Name,Elo,Matches
221,Jason Static,1448.962591,4
736,Trent Beretta,1448.711958,36
105,Aaron Stevens,1448.552187,3
79,Sergeant Slaughter,1448.516727,15
78,Nidia,1447.693169,40
270,Kenzo Suzuki,1445.734801,32
163,Ken Anderson,1445.234709,6
108,Maven,1445.05148,112
123,Brandon Groom,1444.126409,5
791,Brodus Clay,1441.741357,386
63,Reverend D-Von,1441.454619,23
668,Tiffany,1441.39754,13
75,Mike Awesome,1441.041674,6
787,Jacob Novak,1439.708192,10
209,Doink the Clown,1437.939218,7
320,Caprice Coleman,1436.847747,4
334,Antonio,1436.25956,19
342,Trevor Murdoch,1436.251889,117
60,Johnny Stamboli,1435.917186,79
751,Michael Tarver,1435.347268,48
234,Sakoda,1433.163673,12
174,Arch Kincaid,1433.058609,5
192,Zach Gowen,1432.444631,12
289,Mike Mondo,1432.292867,5
276,Bio-Hazard,1431.668311,4
659,Jack Swagger,1430.815238,675
26,Tommy Dreamer,1430.639297,201
106,Danny Doring,1430.100375,6
102,Tyson Dux,1429.276125,5
195,Paul London,1428.187331,227
528,Kenny Dykstra,1425.157134,36
428,Nick Berk,1425.019091,5
783,Maxine,1423.756729,24
435,Deuce,1423.463592,46
220,Jonathan Coachman,1422.648149,25
164,Chad Collyer,1421.895425,6
830,Unknown,1420.990985,10
265,Eugene,1419.016768,107
28,Goldust,1417.404926,445
436,Domino,1417.163512,46
793,Byron Saxton,1416.797139,16
709,Yoshi Tatsu,1416.686756,196
413,Colt Cabana,1416.198104,7
183,Val Venis,1415.388562,174
354,Super Crazy,1414.57075,149
766,Kaval,1414.229066,56
308,Matt Striker,1414.126813,65
332,Joey Mercury,1413.942164,90
355,Little Guido,1413.826246,9
176,Sylvain Grenier,1412.473942,91
640,Armando Estrada,1412.460316,14
831,Epico,1412.278441,70
262,Wavell Starr,1411.847561,7
790,Derrick Bateman,1411.376303,51
863,El Local,1410.426428,12
13,Billy Kidman,1408.90417,135
314,Robbie McAllister,1408.241668,62
115,Sean Evans,1407.579248,7
48,Tajiri,1407.06112,170
778,Naomi,1403.625822,418
179,Joey Matthews,1402.297572,7
178,Stevie Richards,1401.068041,42
25,Crash Holly,1400.895009,35
330,Daivari,1400.692382,37
814,Hunico,1400.519116,58
867,Fandango,1400.099888,368
516,Jimmy Wang Yang,1399.387901,90
36,Molly Holly,1398.037384,98
584,James Curtis,1393.701424,9
826,Leo Kruger,1392.701421,17
92,Al Snow,1391.315549,19
706,Tyler Reks,1390.827424,113
288,Carlito,1390.36706,237
43,Jamie Noble,1387.722461,194
636,Katie Lea Burchill,1387.651629,29
87,Rosey,1386.813716,137
59,The Hurricane,1382.829651,173
54,Jacqueline,1378.539212,40
53,Victoria,1378.309707,220
769,Tamina,1376.481138,43
55,Spike Dudley,1376.160095,132
89,Dawn Marie,1375.748114,29
245,Russell Simpson,1372.796083,12
27,Shawn Stasiak,1371.687207,13
6,Chavo Guerrero,1368.780079,348
66,Torrie Wilson,1365.51446,120
67,Stacy Keibler,1365.423733,33
684,Alicia Fox,1365.175914,368
608,Colin Delaney,1363.059592,28
764,Michael McGillicutty,1362.914174,149
368,Johnny Parisi,1362.701209,13
836,Damien Sandow,1361.5257,416
352,Psicosis,1361.393897,64
151,Brian Kendrick,1359.356622,148
871,Cameron,1357.54111,181
131,Charlie Haas,1356.215457,235
94,Unknown Male Wrestler,1355.514022,13
385,Paul Burchill,1347.226141,79
167,Chris Kanyon,1346.21515,18
844,Xavier Woods,1344.818312,244
893,Tyler Breeze,1342.698753,36
486,Balls Mahoney,1342.149554,36
879,Summer Rae,1339.362963,93
618,Zack Ryder,1338.318146,642
145,Mike Knox,1332.521307,76
869,Corey Graves,1331.532938,18
860,Bo Dallas,1331.233382,219
661,Primo,1325.749264,190
56,Justin Credible,1319.630708,25
765,Alex Riley,1318.369714,197
802,Trent Barreta,1316.946578,38
304,Simon Dean,1308.680664,66
747,Justin Gabriel,1298.209663,420
771,Titus O'Neil,1295.785964,487
230,Scotty Too Hotty,1287.581582,92
233,Akio,1281.387767,53
884,Emma,1271.54144,267
744,David Otunga,1271.090844,173
866,Brad Maddox,1258.108513,37
58,Rob Conway,1251.356913,145
809,Jinder Mahal,1246.004355,178
885,Curtis Axel,1240.225302,290
697,Rosa Mendes,1237.219811,57
29,Steven Richards,1234.097233,116
402,Jillian Hall,1233.390572,97
585,Drew McIntyre,1232.220146,271
7,Sho Funaki,1227.390811,152
70,Shannon Moore,1200.759231,142
122,Nunzio,1178.941213,157
520,JTG,1158.70358,289
617,Curt Hawkins,1113.238864,136
901,Adam Rose,1111.575124,171
746,Heath Slater,1110.639756,383
780,Aksana,1083.187665,112
1,Me,1,1
