,Name,Elo,Matches
861,Leakee,1515.7576,3
644,Cousin Sal,1515.742834,1
487,Tazz,1515.512478,1
353,Rey Misterio,1515.263693,1
534,Marquis Cor Von,1515.241131,1
883,Kassius Ohno,1515.205562,1
4,The Godfather,1515.042987,2
188,Danny Basham,1514.840369,93
170,Roddy Piper,1514.784108,17
418,Theodore Long,1514.695351,1
498,Roadkill,1514.498495,1
920,Samoa Joe,1514.402125,1
581,Festus,1513.722436,57
782,Tyler Black,1513.477134,1
73,Rico,1513.254697,89
647,Atlas Ortiz,1513.134451,1
716,The Calgary Kid,1512.904371,1
248,Ernest Miller,1512.135428,3
891,Eva Marie,1511.900192,55
500,Kevin Thorn,1511.793902,46
69,Kevin Nash,1511.588384,17
720,Cedric the Entertainer,1511.4642,1
838,John Laurinaitis,1511.446201,3
132,The Jet,1510.670006,1
129,Diamondback,1510.573987,1
729,Ricky Hatton,1510.480051,1
222,Shaniqua,1510.307032,3
921,Braun Stowman,1510.102616,1
876,Sweet T.,1509.171428,79
524,Dusty Rhodes,1509.136429,4
677,Hurricane Helms,1508.748534,8
857,Vader,1508.478036,1
303,Jesus,1508.213825,2
367,Road Warrior Animal,1508.067327,5
858,Sycho Sid,1507.984297,1
682,Kizarny,1507.512163,2
650,Vickie Guerrero,1507.329165,21
112,The Fabulous Moolah,1506.508286,4
767,Teddy Long,1506.22095,2
889,Diego,1505.247581,291
213,Shane McMahon,1504.19349,38
651,Ricky Ortiz,1504.092205,16
913,Kalisto,1503.750152,163
293,Daniel Puder,1503.696405,3
139,Matt Cappotelli,1503.689783,2
111,Redd Dogg,1503.345078,2
656,Brie Bella,1503.330182,385
82,Lilian Garcia,1503.326761,2
144,Jazz,1502.657384,39
181,Mr. America,1502.46091,2
21,Chuck,1501.267709,18
150,Chief Morley,1500.710289,10
86,Jamal,1500.561573,33
80,Terri,1500.544635,4
244,Eddie Kramer,1500,2
247,Chavo Guerrero Sr.,1500,2
273,Robert Conway,1500,4
282,Tracie Wright,1500,2
370,Cloacas,1500,2
397,Nick Nemeth,1500,4
442,Pequeno Violencia,1500,2
465,Jake Gymini,1500,6
466,Jesse Gymini,1500,6
522,David Taylor,1500,4
539,Little Bastard,1500,4
